title,url,duration,thumbnail
Coding Challenge #101: May the 4th Scrolling Text,https://www.youtube.com/watch?v=fUkF-YLLXeg,1049,https://i.ytimg.com/vi/fUkF-YLLXeg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfVnvsU9EoOkJ2aBFeGK20pZyKOQ
Guest Tutorial #11: Hardware + JavaScript with noopkat,https://www.youtube.com/watch?v=Xtnitfj_e10,3291,https://i.ytimg.com/vi/Xtnitfj_e10/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKgTKSFqfW22K7mRnGV_m8NoLl_A
6.2: TensorFlow.js: Tensors - Intelligence and Learning,https://www.youtube.com/watch?v=D-XzAeVvMkg,1223,https://i.ytimg.com/vi/D-XzAeVvMkg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjr7psNMBJds-BpozMNcEl26dFqg
6.1: Introduction to TensorFlow.js - Intelligence and Learning,https://www.youtube.com/watch?v=Qt3ZABW5lD0,1141,https://i.ytimg.com/vi/Qt3ZABW5lD0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSvxT1o7ANo0S-AeB9OaMbZskz0A
Coding Challenge #100: Neuroevolution Flappy Bird - Part 5,https://www.youtube.com/watch?v=U9wiMM3BqLU,1168,https://i.ytimg.com/vi/U9wiMM3BqLU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD33rqZeBc1GHuXVU-mvfFAfg7LbQ
Coding Challenge #100: Neuroevolution Flappy Bird - Part 4,https://www.youtube.com/watch?v=HrvNpbnjEG8,921,https://i.ytimg.com/vi/HrvNpbnjEG8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7Iq7CPfeEWpuh0Aic8dekcfAH-w
Coding Challenge #100: Neuroevolution Flappy Bird - Part 3,https://www.youtube.com/watch?v=3lvj9jvERvs,789,https://i.ytimg.com/vi/3lvj9jvERvs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmcLdWFX-kHoSyFEBrLip5sso4pw
Coding Challenge #100: Neuroevolution Flappy Bird - Part 2,https://www.youtube.com/watch?v=YtRA6tqgJBc,1709,https://i.ytimg.com/vi/YtRA6tqgJBc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAv3whRAtfVoUR9KjI8ybCA0SmmMQ
Coding Challenge #100: Neuroevolution Flappy Bird - Part 1,https://www.youtube.com/watch?v=c6y21FkaUqw,1433,https://i.ytimg.com/vi/c6y21FkaUqw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1VY7yYyApR9_ufKLe7nhitvoMvg
Guest Tutorial #10: Kinectron with Lisa Jamhoury,https://www.youtube.com/watch?v=BV6xK3EOznI,1336,https://i.ytimg.com/vi/BV6xK3EOznI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTK9V7TalDGGE1E8dxXBQMFCYt1Q
Coding Challenge #99: Neural Network Color Predictor,https://www.youtube.com/watch?v=KtPpoMThKUs,2265,https://i.ytimg.com/vi/KtPpoMThKUs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCz_kZi_d3ho4iR0T9hXHvTdraTdg
Guest Tutorial #9: Color Predictor with Jabril,https://www.youtube.com/watch?v=iN3WAko2rL8,1719,https://i.ytimg.com/vi/iN3WAko2rL8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6vmCdpsohNMsC-TrZISZy3ZMs3A
Coding Challenge #98.3: Quadtree Collisions - Part 3,https://www.youtube.com/watch?v=z0YFFg_nBjw,1067,https://i.ytimg.com/vi/z0YFFg_nBjw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAvF32QVhqgg_N2M3bh3fpk3u7Syw
Adding a Function to p5.js,https://www.youtube.com/watch?v=Rr3vLyP1Ods,2804,https://i.ytimg.com/vi/Rr3vLyP1Ods/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAxCmUv6kURb1_O3ylau7BRTsx44w
Guest Tutorial #8: Phaser Game Development with Catt Small,https://www.youtube.com/watch?v=T9kOFSFvgKc,2286,https://i.ytimg.com/vi/T9kOFSFvgKc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBXNWfNxK7OOlxxmFVQvl4QWa3x6A
Coding Challenge #98.2: Quadtree - Part 2,https://www.youtube.com/watch?v=QQx_NmCIuCY,1240,https://i.ytimg.com/vi/QQx_NmCIuCY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDsUfuOX1VpsY0QWwNVxdGC-vxWpw
Guest: John Henry Thompson,https://www.youtube.com/watch?v=DvS4h-1Eyu4,1887,https://i.ytimg.com/vi/DvS4h-1Eyu4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDvhnKXHeqlbVab5AVDOaWSvGSjAw
Coding Challenge #98.1: Quadtree - Part 1,https://www.youtube.com/watch?v=OJxEcs0w_kE,2288,https://i.ytimg.com/vi/OJxEcs0w_kE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBD0_D4S7JLjfzyuah3BlaQq237_w
Coding Challenge #97: The Book of Pi - Part 2,https://www.youtube.com/watch?v=4Ns9S-Z89-0,1091,https://i.ytimg.com/vi/4Ns9S-Z89-0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCx0dZ5Oue1PgaQ3HtkTu8k1cuvAw
Coding Challenge #97: The Book of Pi - Part 1,https://www.youtube.com/watch?v=tbvG9hrJxOU,2225,https://i.ytimg.com/vi/tbvG9hrJxOU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_4U6wazhzq9j932bs6pTDV10Rzw
Coding Challenge #96: Visualizing the Digits of Pi,https://www.youtube.com/watch?v=WEd_UIKG-uc,963,https://i.ytimg.com/vi/WEd_UIKG-uc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA53nOTqKFmSZ4fqnPsAlA-QDIZGQ
